botA,botB,scoreA,scoreB,winner
weights_tmp/weights_0.cfg,weights_tmp/weights_1.cfg,41,40,-1
weights_tmp/weights_0.cfg,weights_tmp/weights_1.cfg,41,40,-1
weights_tmp/weights_0.cfg,weights_tmp/weights_2.cfg,54,27,1
weights_tmp/weights_0.cfg,weights_tmp/weights_2.cfg,54,27,1
weights_tmp/weights_0.cfg,weights_tmp/weights_3.cfg,49,47,1
weights_tmp/weights_0.cfg,weights_tmp/weights_3.cfg,49,47,1
weights_tmp/weights_0.cfg,weights_tmp/weights_4.cfg,41,40,-1
weights_tmp/weights_0.cfg,weights_tmp/weights_4.cfg,41,40,-1
weights_tmp/weights_0.cfg,weights_tmp/weights_5.cfg,41,41,-1
weights_tmp/weights_0.cfg,weights_tmp/weights_5.cfg,41,41,-1
weights_tmp/weights_0.cfg,weights_tmp/weights_6.cfg,40,47,-1
weights_tmp/weights_0.cfg,weights_tmp/weights_6.cfg,40,47,-1
weights_tmp/weights_0.cfg,weights_tmp/weights_7.cfg,42,42,-1
weights_tmp/weights_0.cfg,weights_tmp/weights_7.cfg,42,42,-1
weights_tmp/weights_0.cfg,weights_tmp/weights_8.cfg,42,47,-1
weights_tmp/weights_0.cfg,weights_tmp/weights_8.cfg,42,47,-1
weights_tmp/weights_0.cfg,weights_tmp/weights_9.cfg,42,47,-1
weights_tmp/weights_0.cfg,weights_tmp/weights_9.cfg,42,47,-1
weights_tmp/weights_0.cfg,weights_tmp/weights_10.cfg,40,47,-1
weights_tmp/weights_0.cfg,weights_tmp/weights_10.cfg,40,47,-1
weights_tmp/weights_0.cfg,weights_tmp/weights_11.cfg,39,48,-1
weights_tmp/weights_0.cfg,weights_tmp/weights_11.cfg,39,48,-1
weights_tmp/weights_0.cfg,weights_tmp/weights_12.cfg,42,47,-1
weights_tmp/weights_0.cfg,weights_tmp/weights_12.cfg,42,47,-1
weights_tmp/weights_0.cfg,weights_tmp/weights_13.cfg,40,48,-1
weights_tmp/weights_0.cfg,weights_tmp/weights_13.cfg,40,48,-1
weights_tmp/weights_0.cfg,weights_tmp/weights_14.cfg,52,39,1
weights_tmp/weights_0.cfg,weights_tmp/weights_14.cfg,52,39,1
weights_tmp/weights_0.cfg,weights_tmp/weights_15.cfg,50,17,1
weights_tmp/weights_0.cfg,weights_tmp/weights_15.cfg,50,17,1
weights_tmp/weights_0.cfg,weights_tmp/weights_16.cfg,49,16,1
weights_tmp/weights_0.cfg,weights_tmp/weights_16.cfg,49,16,1
weights_tmp/weights_0.cfg,weights_tmp/weights_17.cfg,50,26,1
weights_tmp/weights_0.cfg,weights_tmp/weights_17.cfg,50,26,1
weights_tmp/weights_0.cfg,weights_tmp/weights_18.cfg,40,41,-1
weights_tmp/weights_0.cfg,weights_tmp/weights_18.cfg,40,41,-1
weights_tmp/weights_0.cfg,weights_tmp/weights_19.cfg,50,26,1
weights_tmp/weights_0.cfg,weights_tmp/weights_19.cfg,50,26,1
weights_tmp/weights_1.cfg,weights_tmp/weights_0.cfg,58,30,1
weights_tmp/weights_1.cfg,weights_tmp/weights_0.cfg,54,31,1
weights_tmp/weights_1.cfg,weights_tmp/weights_2.cfg,36,60,2
